Product Card Id,Original Product Name,Original Category Name,Original Department Name,FMCG Category,FMCG Sub-Category,FMCG Product Name
1346,Sports Books ,Books ,Book Shop,Baby Care,Baby Feeding,TinyCare Size 4 Baby Diapers 40ct
502,Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,Golf,Beverages,Soft Drinks,AquaPure Pure Coconut Water 500ml
564,Nike Men's Deutschland Weltmeister Winners Bl,Girls' Apparel,Golf,Beverages,Soft Drinks,AquaPure Medium Roast Coffee Beans 250g
565,adidas Youth Germany Black/Red Away Match Soc,Girls' Apparel,Golf,Beverages,Soft Drinks,AquaPure Lime Sparkling Water 1L
567,adidas Men's Germany Black Crest Away Tee,Girls' Apparel,Golf,Beverages,Soft Drinks,AquaPure Classic Lemonade 1L
572,TYR Boys' Team Digi Jammer,Girls' Apparel,Golf,Beverages,Soft Drinks,AquaPure 100% Pure Orange Juice 1L
625,Nike Men's Kobe IX Elite Low Basketball Shoe,Shop By Sport,Golf,Beverages,Soft Drinks,AquaPure Lemon Sparkling Water 1L
627,Under Armour Girls' Toddler Spine Surge Runni,Shop By Sport,Golf,Beverages,Soft Drinks,AquaPure Zero Sugar Cola 2L
642,Columbia Men's PFG Anchor Tough T-Shirt,Shop By Sport,Golf,Beverages,Soft Drinks,AquaPure Citrus Energy Drink 250ml
1349,Web Camera,Cameras ,Technology,Dairy & Chilled,Chilled Dairy,DailyFresh Plain Greek Yogurt 500g
1351,Dell Laptop,Computers,Technology,Dairy & Chilled,Chilled Dairy,DailyFresh Vanilla Greek Yogurt 500g
1352,Industrial consumer electronics,Consumer Electronics,Technology,Dairy & Chilled,Chilled Dairy,DailyFresh Fresh Whole Milk 1L
1348,CDs of rock,CDs ,Discs Shop,Frozen Foods,Frozen Meals,IceFresh Original Frozen Chicken Nuggets 500g
1354,DVDs ,DVDs,Discs Shop,Frozen Foods,Frozen Meals,IceFresh Chocolate Ice Cream 1L
1358,Rock music,Music,Discs Shop,Frozen Foods,Frozen Meals,IceFresh Vanilla Ice Cream 1L
1362,Fighting video games,Video Games,Discs Shop,Frozen Foods,Frozen Meals,IceFresh Margherita Frozen Pizza 1ct
19,Nike Men's Fingertrap Max Training Shoe,Soccer,Fitness,Health & Wellness,Vitamins & Supplements,VitaWell Omega-3 Fish Oil Capsules 120ct
24,Elevation Training Mask 2.0,Soccer,Fitness,Health & Wellness,Vitamins & Supplements,VitaWell Men's Multivitamin Tablets 60ct
35,adidas Brazuca 2014 Official Match Ball,Baseball & Softball,Fitness,Health & Wellness,Vitamins & Supplements,VitaWell Family First Aid Kit 1ct
37,adidas Kids' F5 Messi FG Soccer Cleat,Baseball & Softball,Fitness,Health & Wellness,Vitamins & Supplements,VitaWell Citrus Electrolyte Drink Mix 20ct
44,adidas Men's F10 Messi TRX FG Soccer Cleat,Baseball & Softball,Fitness,Health & Wellness,Vitamins & Supplements,VitaWell Men's Multivitamin Tablets 90ct
58,Diamondback Boys' Insight 24 Performance Hybr,Basketball,Fitness,Health & Wellness,Vitamins & Supplements,VitaWell Daily Multivitamin Tablets 90ct
60,SOLE E25 Elliptical,Basketball,Fitness,Health & Wellness,Vitamins & Supplements,VitaWell Honey Lemon Cough Syrup 200ml
61,Diamondback Girls' Clarity 24 Hybrid Bike 201,Basketball,Fitness,Health & Wellness,Vitamins & Supplements,VitaWell Vanilla Protein Powder 500g
78,Nike Kids' Grade School KD VI Basketball Shoe,Lacrosse,Fitness,Health & Wellness,Vitamins & Supplements,VitaWell Chocolate Protein Powder 500g
93,Under Armour Men's Tech II T-Shirt,Lacrosse,Fitness,Health & Wellness,Vitamins & Supplements,VitaWell Melatonin Sleep Aid Gummies 60ct
116,Nike Men's Comfort 2 Slide,Tennis & Racquet,Fitness,Health & Wellness,Vitamins & Supplements,VitaWell Daily Multivitamin Tablets 60ct
127,Stiga Master Series ST3100 Competition Indoor,Hockey,Fitness,Health & Wellness,Vitamins & Supplements,VitaWell Aloe Infused Hand Sanitizer Gel 250ml
134,Nike Women's Legend V-Neck T-Shirt,Hockey,Fitness,Health & Wellness,Vitamins & Supplements,VitaWell Mixed Berry Vitamin C Gummies 60ct
135,Nike Dri-FIT Crew Sock 6 Pack,Hockey,Fitness,Health & Wellness,Vitamins & Supplements,VitaWell Fast Read Digital Thermometer 1ct
1356,First aid kit,Health and Beauty,Health and Beauty ,Health & Wellness,Vitamins & Supplements,VitaWell First Aid Antiseptic Spray 150ml
1360,Smart watch ,Sporting Goods,Fitness,Health & Wellness,Vitamins & Supplements,VitaWell Vanilla Protein Powder 1kg
1355,Lawn mower,Garden,Outdoors,Household & Home Care,Garden & Outdoor Care,HomeGuard Original All-Purpose Outdoor Cleaner 1L
607,Garmin Approach S3 Golf GPS Watch,Trade-In,Outdoors,Household & Home Care,Laundry Care,PureWash Sensitive Skin Liquid Detergent 1.5L
792,Hirzl Men's Hybrid Golf Glove,Golf Balls,Outdoors,Household & Home Care,Laundry Care,PureWash Spring Bloom Liquid Detergent 3L
793,Hirzl Women's Hybrid Golf Glove,Golf Balls,Outdoors,Household & Home Care,Laundry Care,PureWash Lavender Fabric Softener 2L
797,Hirzl Women's Soffft Flex Golf Glove,Golf Balls,Outdoors,Household & Home Care,Laundry Care,PureWash Citrus Burst Liquid Detergent 3L
804,Glove It Women's Imperial Golf Glove,Golf Balls,Outdoors,Household & Home Care,Laundry Care,PureWash Original Stain Remover Spray 750ml
810,Glove It Women's Mod Oval Golf Glove,Golf Balls,Outdoors,Household & Home Care,Laundry Care,PureWash Sensitive Skin Fabric Softener 1L
818,Titleist Pro V1x Golf Balls,Electronics,Outdoors,Household & Home Care,Laundry Care,PureWash Lavender Detergent Pods 30ct
821,Titleist Pro V1 High Numbers Personalized Gol,Electronics,Outdoors,Household & Home Care,Laundry Care,PureWash Mountain Breeze Powder Detergent 4kg
822,Titleist Pro V1x High Numbers Golf Balls,Electronics,Outdoors,Household & Home Care,Laundry Care,PureWash Ocean Fresh Liquid Detergent 3L
823,Titleist Pro V1x High Numbers Personalized Go,Electronics,Outdoors,Household & Home Care,Laundry Care,PureWash Spring Bloom Liquid Detergent 1.5L
825,Bridgestone e6 Straight Distance NFL Tennesse,Electronics,Outdoors,Household & Home Care,Laundry Care,PureWash Lavender Liquid Detergent 1.5L
828,Bridgestone e6 Straight Distance NFL San Dieg,Electronics,Outdoors,Household & Home Care,Laundry Care,PureWash Ocean Fresh Liquid Detergent 1.5L
835,Bridgestone e6 Straight Distance NFL Carolina,Electronics,Outdoors,Household & Home Care,Laundry Care,PureWash Spring Bloom Liquid Detergent 2L
885,Team Golf St. Louis Cardinals Putter Grip,Accessories,Outdoors,Household & Home Care,Laundry Care,PureWash Citrus Burst Liquid Detergent 1.5L
886,Team Golf San Francisco Giants Putter Grip,Accessories,Outdoors,Household & Home Care,Laundry Care,PureWash Mountain Breeze Liquid Detergent 1.5L
893,Team Golf Pittsburgh Steelers Putter Grip,Accessories,Outdoors,Household & Home Care,Laundry Care,PureWash Citrus Burst Stain Remover Spray 500ml
897,Team Golf New England Patriots Putter Grip,Accessories,Outdoors,Household & Home Care,Laundry Care,PureWash Fresh Linen Detergent Pods 60ct
905,Team Golf Texas Longhorns Putter Grip,Accessories,Outdoors,Household & Home Care,Laundry Care,PureWash Ocean Fresh Fabric Softener 1L
906,Team Golf Tennessee Volunteers Putter Grip,Accessories,Outdoors,Household & Home Care,Laundry Care,PureWash Fresh Linen Detergent Pods 30ct
917,Glove It Women's Mod Oval 3-Zip Carry All Gol,Trade-In,Outdoors,Household & Home Care,Laundry Care,PureWash Lavender Liquid Detergent 1L
924,Glove It Urban Brick Golf Towel,Trade-In,Outdoors,Household & Home Care,Laundry Care,PureWash Spring Bloom Powder Detergent 4kg
926,Glove It Imperial Golf Towel,Trade-In,Outdoors,Household & Home Care,Laundry Care,PureWash Mountain Breeze Liquid Detergent 2L
295,Fitbit The One Wireless Activity & Sleep Trac,Kids' Golf Clubs,Outdoors,Household & Home Care,Paper & Disposables,HomeGuard Ultra Absorbent Paper Towels 12 Rolls
303,Garmin Forerunner 910XT GPS Watch,Kids' Golf Clubs,Outdoors,Household & Home Care,Paper & Disposables,HomeGuard Aloe Infused Facial Tissues 6-pack
305,Mio ALPHA Heart Rate Monitor/Sport Watch,Kids' Golf Clubs,Outdoors,Household & Home Care,Paper & Disposables,HomeGuard 3-Ply Toilet Paper 6 Rolls
