FMCG Category,Order Region,Budget Month,Budgeted Sales,Budgeted Cost
Snacks & Confectionery,Southeast Asia,2015-01-01,15749.63,11812.23
Snacks & Confectionery,Southeast Asia,2015-02-01,17150.66,12862.99
Snacks & Confectionery,Southeast Asia,2015-03-01,16470.65,12352.99
Snacks & Confectionery,Southeast Asia,2015-04-01,17038.25,12778.69
Snacks & Confectionery,Southeast Asia,2015-05-01,17545.06,13158.79
Snacks & Confectionery,Southeast Asia,2015-06-01,16669.94,12502.45
Snacks & Confectionery,Southeast Asia,2015-07-01,16595.52,12446.64
Snacks & Confectionery,Southeast Asia,2015-08-01,15741.16,11805.87
Snacks & Confectionery,Southeast Asia,2015-09-01,16132.2,12099.15
Snacks & Confectionery,Southeast Asia,2015-10-01,16593.05,12444.79
Snacks & Confectionery,Southeast Asia,2015-11-01,16950.17,12712.63
Snacks & Confectionery,Southeast Asia,2015-12-01,17198.09,12898.57
Snacks & Confectionery,Southeast Asia,2016-01-01,17174.03,12880.52
Snacks & Confectionery,Southeast Asia,2016-02-01,16515.43,12386.57
Snacks & Confectionery,Southeast Asia,2016-03-01,16980.02,12735.01
Snacks & Confectionery,Southeast Asia,2016-04-01,18279.31,13709.48
Snacks & Confectionery,Southeast Asia,2016-05-01,16823.71,12617.78
Snacks & Confectionery,Southeast Asia,2016-06-01,17322.85,12992.14
Snacks & Confectionery,Southeast Asia,2016-07-01,18324.5,13743.37
Snacks & Confectionery,Southeast Asia,2016-08-01,16429.63,12322.22
Snacks & Confectionery,Southeast Asia,2016-09-01,17633.17,13224.88
Snacks & Confectionery,Southeast Asia,2016-10-01,18364.06,13773.05
Snacks & Confectionery,Southeast Asia,2016-11-01,16859.08,12644.31
Snacks & Confectionery,Southeast Asia,2016-12-01,17524.33,13143.25
Snacks & Confectionery,Southeast Asia,2017-01-01,19192.25,14394.19
Snacks & Confectionery,Southeast Asia,2017-02-01,17488.8,13116.6
Snacks & Confectionery,Southeast Asia,2017-03-01,18345.5,13759.12
Snacks & Confectionery,Southeast Asia,2017-04-01,18843.82,14132.87
Snacks & Confectionery,Southeast Asia,2017-05-01,18665.13,13998.85
Snacks & Confectionery,Southeast Asia,2017-06-01,18223.31,13667.48
Snacks & Confectionery,Southeast Asia,2017-07-01,17646.16,13234.62
Snacks & Confectionery,Southeast Asia,2017-08-01,18273.83,13705.37
Snacks & Confectionery,Southeast Asia,2017-09-01,18013.95,13510.46
Snacks & Confectionery,Southeast Asia,2017-10-01,18244.49,13683.37
Snacks & Confectionery,Southeast Asia,2017-11-01,17999.69,13499.77
Snacks & Confectionery,Southeast Asia,2017-12-01,19035.93,14276.95
Snacks & Confectionery,Southeast Asia,2018-01-01,19828.05,14871.04
Snacks & Confectionery,South Asia,2015-01-01,13148.06,9861.05
Snacks & Confectionery,South Asia,2015-02-01,13565.44,10174.08
Snacks & Confectionery,South Asia,2015-03-01,13086.82,9815.12
Snacks & Confectionery,South Asia,2015-04-01,13372.13,10029.1
Snacks & Confectionery,South Asia,2015-05-01,13210.97,9908.23
Snacks & Confectionery,South Asia,2015-06-01,13702.24,10276.68
Snacks & Confectionery,South Asia,2015-07-01,13239.01,9929.26
Snacks & Confectionery,South Asia,2015-08-01,13382.22,10036.66
Snacks & Confectionery,South Asia,2015-09-01,13802.18,10351.63
Snacks & Confectionery,South Asia,2015-10-01,13307.82,9980.87
Snacks & Confectionery,South Asia,2015-11-01,14104.11,10578.09
Snacks & Confectionery,South Asia,2015-12-01,12932.55,9699.41
Snacks & Confectionery,South Asia,2016-01-01,14529.22,10896.91
Snacks & Confectionery,South Asia,2016-02-01,13989.11,10491.83
Snacks & Confectionery,South Asia,2016-03-01,13996.02,10497.02
Snacks & Confectionery,South Asia,2016-04-01,14348.35,10761.26
Snacks & Confectionery,South Asia,2016-05-01,14159.46,10619.59
Snacks & Confectionery,South Asia,2016-06-01,13976.42,10482.32
